HG00096	CTRL_HG00096
NA20906	CTRL_NA20906
NA20908	CTRL_NA20908
NA20910	CTRL_NA20910
NA20911	CTRL_NA20911
NA21086	CTRL_NA21086
NA21087	CTRL_NA21087
NA21088	CTRL_NA21088
NA21089	CTRL_NA21089
NA21090	CTRL_NA21090
NA21091	CTRL_NA21091
NA21092	CTRL_NA21092
NA21093	CTRL_NA21093
NA21094	CTRL_NA21094
NA21095	CTRL_NA21095
NA21097	CTRL_NA21097
NA21098	CTRL_NA21098
NA21099	CTRL_NA21099
NA21100	CTRL_NA21100
NA21101	CTRL_NA21101
NA21102	CTRL_NA21102
NA21103	CTRL_NA21103
NA21104	CTRL_NA21104
NA21105	CTRL_NA21105
NA21106	CTRL_NA21106
NA21107	CTRL_NA21107
NA21108	CTRL_NA21108
NA21109	CTRL_NA21109
NA21110	CTRL_NA21110
NA21111	CTRL_NA21111
NA21112	CTRL_NA21112
NA21113	CTRL_NA21113
NA21114	CTRL_NA21114
NA21115	CTRL_NA21115
NA21116	CTRL_NA21116
NA21117	CTRL_NA21117
NA21118	CTRL_NA21118
NA21119	CTRL_NA21119
NA21120	CTRL_NA21120
NA21122	CTRL_NA21122
NA21123	CTRL_NA21123
NA21124	CTRL_NA21124
NA21125	CTRL_NA21125
NA21126	CTRL_NA21126
NA21127	CTRL_NA21127
NA21128	CTRL_NA21128
NA21129	CTRL_NA21129
NA21130	CTRL_NA21130
NA21133	CTRL_NA21133
NA21135	CTRL_NA21135
NA21137	CTRL_NA21137
NA21141	CTRL_NA21141
NA21142	CTRL_NA21142
NA21143	CTRL_NA21143
NA21144	CTRL_NA21144
