HG00096	CTRL_HG00096
HG00700	CTRL_HG00700
HG00701	CTRL_HG00701
HG00702	CTRL_HG00702
HG00703	CTRL_HG00703
HG00704	CTRL_HG00704
HG00705	CTRL_HG00705
HG00706	CTRL_HG00706
HG00707	CTRL_HG00707
HG00708	CTRL_HG00708
HG00709	CTRL_HG00709
HG00717	CTRL_HG00717
HG00728	CTRL_HG00728
HG00729	CTRL_HG00729
HG00731	CTRL_HG00731
HG00732	CTRL_HG00732
HG00733	CTRL_HG00733
HG00734	CTRL_HG00734
HG00735	CTRL_HG00735
HG00736	CTRL_HG00736
HG00737	CTRL_HG00737
HG00738	CTRL_HG00738
HG00739	CTRL_HG00739
HG00740	CTRL_HG00740
HG00741	CTRL_HG00741
HG00742	CTRL_HG00742
HG00743	CTRL_HG00743
HG00759	CTRL_HG00759
HG00766	CTRL_HG00766
HG00844	CTRL_HG00844
HG00851	CTRL_HG00851
HG00864	CTRL_HG00864
HG00867	CTRL_HG00867
HG00879	CTRL_HG00879
HG00881	CTRL_HG00881
HG00956	CTRL_HG00956
HG00978	CTRL_HG00978
HG00982	CTRL_HG00982
HG01028	CTRL_HG01028
HG01029	CTRL_HG01029
HG01031	CTRL_HG01031
HG01046	CTRL_HG01046
HG01047	CTRL_HG01047
HG01048	CTRL_HG01048
HG01049	CTRL_HG01049
HG01050	CTRL_HG01050
HG01051	CTRL_HG01051
HG01052	CTRL_HG01052
HG01053	CTRL_HG01053
HG01054	CTRL_HG01054
HG01055	CTRL_HG01055
HG01056	CTRL_HG01056
HG01058	CTRL_HG01058
HG01060	CTRL_HG01060
HG01061	CTRL_HG01061
HG01062	CTRL_HG01062
HG01063	CTRL_HG01063
HG01064	CTRL_HG01064
HG01066	CTRL_HG01066
HG01067	CTRL_HG01067
HG01068	CTRL_HG01068
HG01069	CTRL_HG01069
HG01070	CTRL_HG01070
HG01071	CTRL_HG01071
HG01072	CTRL_HG01072
HG01073	CTRL_HG01073
HG01074	CTRL_HG01074
HG01075	CTRL_HG01075
HG01077	CTRL_HG01077
HG01079	CTRL_HG01079
HG01080	CTRL_HG01080
HG01081	CTRL_HG01081
HG01082	CTRL_HG01082
HG01083	CTRL_HG01083
HG01084	CTRL_HG01084
HG01085	CTRL_HG01085
HG01086	CTRL_HG01086
HG01087	CTRL_HG01087
HG01088	CTRL_HG01088
HG01089	CTRL_HG01089
HG01092	CTRL_HG01092
HG01094	CTRL_HG01094
HG01095	CTRL_HG01095
HG01096	CTRL_HG01096
HG01097	CTRL_HG01097
HG01098	CTRL_HG01098
HG01099	CTRL_HG01099
HG01100	CTRL_HG01100
HG01101	CTRL_HG01101
HG01102	CTRL_HG01102
HG01103	CTRL_HG01103
HG01104	CTRL_HG01104
HG01105	CTRL_HG01105
HG01106	CTRL_HG01106
HG01107	CTRL_HG01107
HG01108	CTRL_HG01108
HG01109	CTRL_HG01109
HG01110	CTRL_HG01110
HG01111	CTRL_HG01111
HG01112	CTRL_HG01112
HG01113	CTRL_HG01113
HG01114	CTRL_HG01114
HG01119	CTRL_HG01119
HG01121	CTRL_HG01121
HG01122	CTRL_HG01122
HG01124	CTRL_HG01124
HG01125	CTRL_HG01125
HG01126	CTRL_HG01126
HG01130	CTRL_HG01130
HG01131	CTRL_HG01131
HG01133	CTRL_HG01133
HG01134	CTRL_HG01134
HG01135	CTRL_HG01135
HG01136	CTRL_HG01136
HG01137	CTRL_HG01137
HG01138	CTRL_HG01138
HG01139	CTRL_HG01139
HG01140	CTRL_HG01140
HG01141	CTRL_HG01141
HG01142	CTRL_HG01142
HG01148	CTRL_HG01148
HG01149	CTRL_HG01149
HG01150	CTRL_HG01150
HG01161	CTRL_HG01161
HG01162	CTRL_HG01162
HG01164	CTRL_HG01164
HG01167	CTRL_HG01167
HG01168	CTRL_HG01168
HG01169	CTRL_HG01169
HG01170	CTRL_HG01170
HG01171	CTRL_HG01171
HG01172	CTRL_HG01172
HG01173	CTRL_HG01173
HG01174	CTRL_HG01174
HG01175	CTRL_HG01175
HG01176	CTRL_HG01176
HG01177	CTRL_HG01177
HG01178	CTRL_HG01178
HG01182	CTRL_HG01182
HG01183	CTRL_HG01183
HG01184	CTRL_HG01184
HG01187	CTRL_HG01187
HG01188	CTRL_HG01188
HG01189	CTRL_HG01189
HG01190	CTRL_HG01190
HG01191	CTRL_HG01191
HG01192	CTRL_HG01192
HG01197	CTRL_HG01197
HG01198	CTRL_HG01198
HG01199	CTRL_HG01199
HG01200	CTRL_HG01200
HG01204	CTRL_HG01204
HG01205	CTRL_HG01205
HG01206	CTRL_HG01206
HG01241	CTRL_HG01241
HG01242	CTRL_HG01242
HG01243	CTRL_HG01243
HG01247	CTRL_HG01247
HG01248	CTRL_HG01248
HG01249	CTRL_HG01249
HG01250	CTRL_HG01250
HG01251	CTRL_HG01251
HG01252	CTRL_HG01252
HG01253	CTRL_HG01253
HG01254	CTRL_HG01254
HG01255	CTRL_HG01255
HG01256	CTRL_HG01256
HG01257	CTRL_HG01257
HG01258	CTRL_HG01258
HG01259	CTRL_HG01259
HG01260	CTRL_HG01260
HG01261	CTRL_HG01261
HG01269	CTRL_HG01269
HG01271	CTRL_HG01271
HG01272	CTRL_HG01272
HG01273	CTRL_HG01273
HG01274	CTRL_HG01274
HG01275	CTRL_HG01275
HG01276	CTRL_HG01276
HG01277	CTRL_HG01277
HG01278	CTRL_HG01278
HG01279	CTRL_HG01279
HG01280	CTRL_HG01280
HG01281	CTRL_HG01281
HG01284	CTRL_HG01284
HG01286	CTRL_HG01286
HG01302	CTRL_HG01302
HG01303	CTRL_HG01303
HG01305	CTRL_HG01305
HG01308	CTRL_HG01308
HG01311	CTRL_HG01311
HG01312	CTRL_HG01312
HG01323	CTRL_HG01323
HG01325	CTRL_HG01325
HG01326	CTRL_HG01326
HG01334	CTRL_HG01334
HG01341	CTRL_HG01341
HG01342	CTRL_HG01342
HG01343	CTRL_HG01343
HG01344	CTRL_HG01344
HG01345	CTRL_HG01345
HG01346	CTRL_HG01346
HG01347	CTRL_HG01347
HG01348	CTRL_HG01348
HG01349	CTRL_HG01349
HG01350	CTRL_HG01350
HG01351	CTRL_HG01351
HG01352	CTRL_HG01352
HG01353	CTRL_HG01353
HG01354	CTRL_HG01354
HG01355	CTRL_HG01355
HG01356	CTRL_HG01356
HG01357	CTRL_HG01357
HG01358	CTRL_HG01358
HG01359	CTRL_HG01359
HG01360	CTRL_HG01360
HG01361	CTRL_HG01361
HG01362	CTRL_HG01362
HG01363	CTRL_HG01363
HG01365	CTRL_HG01365
HG01366	CTRL_HG01366
HG01367	CTRL_HG01367
HG01369	CTRL_HG01369
HG01372	CTRL_HG01372
HG01374	CTRL_HG01374
HG01375	CTRL_HG01375
HG01376	CTRL_HG01376
HG01377	CTRL_HG01377
HG01378	CTRL_HG01378
HG01379	CTRL_HG01379
HG01383	CTRL_HG01383
HG01384	CTRL_HG01384
HG01385	CTRL_HG01385
HG01389	CTRL_HG01389
HG01390	CTRL_HG01390
HG01391	CTRL_HG01391
HG01392	CTRL_HG01392
HG01393	CTRL_HG01393
HG01395	CTRL_HG01395
HG01396	CTRL_HG01396
HG01398	CTRL_HG01398
HG01402	CTRL_HG01402
HG01403	CTRL_HG01403
HG01405	CTRL_HG01405
HG01412	CTRL_HG01412
HG01413	CTRL_HG01413
HG01414	CTRL_HG01414
HG01431	CTRL_HG01431
HG01432	CTRL_HG01432
HG01433	CTRL_HG01433
HG01435	CTRL_HG01435
HG01437	CTRL_HG01437
HG01438	CTRL_HG01438
HG01439	CTRL_HG01439
HG01440	CTRL_HG01440
HG01441	CTRL_HG01441
HG01443	CTRL_HG01443
HG01444	CTRL_HG01444
HG01447	CTRL_HG01447
HG01455	CTRL_HG01455
HG01456	CTRL_HG01456
HG01457	CTRL_HG01457
HG01459	CTRL_HG01459
HG01461	CTRL_HG01461
HG01462	CTRL_HG01462
HG01463	CTRL_HG01463
HG01464	CTRL_HG01464
HG01465	CTRL_HG01465
HG01466	CTRL_HG01466
HG01468	CTRL_HG01468
HG01474	CTRL_HG01474
HG01479	CTRL_HG01479
HG01485	CTRL_HG01485
HG01486	CTRL_HG01486
HG01488	CTRL_HG01488
HG01489	CTRL_HG01489
HG01490	CTRL_HG01490
HG01491	CTRL_HG01491
HG01492	CTRL_HG01492
HG01493	CTRL_HG01493
HG01494	CTRL_HG01494
HG01495	CTRL_HG01495
HG01496	CTRL_HG01496
HG01497	CTRL_HG01497
HG01498	CTRL_HG01498
HG01499	CTRL_HG01499
HG01500	CTRL_HG01500
HG01501	CTRL_HG01501
HG01502	CTRL_HG01502
HG01503	CTRL_HG01503
HG01504	CTRL_HG01504
HG01505	CTRL_HG01505
HG01506	CTRL_HG01506
HG01507	CTRL_HG01507
HG01508	CTRL_HG01508
HG01509	CTRL_HG01509
HG01510	CTRL_HG01510
HG01511	CTRL_HG01511
HG01512	CTRL_HG01512
HG01513	CTRL_HG01513
HG01514	CTRL_HG01514
HG01515	CTRL_HG01515
HG01516	CTRL_HG01516
HG01517	CTRL_HG01517
HG01518	CTRL_HG01518
HG01519	CTRL_HG01519
HG01520	CTRL_HG01520
HG01521	CTRL_HG01521
HG01522	CTRL_HG01522
HG01523	CTRL_HG01523
HG01524	CTRL_HG01524
HG01525	CTRL_HG01525
HG01526	CTRL_HG01526
HG01527	CTRL_HG01527
HG01528	CTRL_HG01528
HG01529	CTRL_HG01529
HG01530	CTRL_HG01530
HG01531	CTRL_HG01531
HG01532	CTRL_HG01532
HG01536	CTRL_HG01536
HG01537	CTRL_HG01537
HG01538	CTRL_HG01538
HG01550	CTRL_HG01550
HG01551	CTRL_HG01551
HG01552	CTRL_HG01552
HG01556	CTRL_HG01556
HG01565	CTRL_HG01565
HG01566	CTRL_HG01566
HG01567	CTRL_HG01567
HG01571	CTRL_HG01571
HG01572	CTRL_HG01572
HG01573	CTRL_HG01573
HG01577	CTRL_HG01577
HG01578	CTRL_HG01578
HG01579	CTRL_HG01579
HG01583	CTRL_HG01583
HG01586	CTRL_HG01586
HG01589	CTRL_HG01589
HG01593	CTRL_HG01593
HG01595	CTRL_HG01595
HG01596	CTRL_HG01596
HG01597	CTRL_HG01597
HG01598	CTRL_HG01598
HG01599	CTRL_HG01599
HG01600	CTRL_HG01600
HG01601	CTRL_HG01601
HG01602	CTRL_HG01602
HG01603	CTRL_HG01603
HG01604	CTRL_HG01604
HG01605	CTRL_HG01605
HG01606	CTRL_HG01606
HG01607	CTRL_HG01607
HG01608	CTRL_HG01608
HG01609	CTRL_HG01609
HG01610	CTRL_HG01610
HG01611	CTRL_HG01611
HG01612	CTRL_HG01612
HG01613	CTRL_HG01613
HG01614	CTRL_HG01614
HG01615	CTRL_HG01615
HG01616	CTRL_HG01616
HG01617	CTRL_HG01617
HG01618	CTRL_HG01618
HG01619	CTRL_HG01619
HG01620	CTRL_HG01620
HG01621	CTRL_HG01621
HG01622	CTRL_HG01622
HG01623	CTRL_HG01623
HG01624	CTRL_HG01624
HG01625	CTRL_HG01625
HG01626	CTRL_HG01626
HG01627	CTRL_HG01627
HG01628	CTRL_HG01628
HG01629	CTRL_HG01629
HG01630	CTRL_HG01630
HG01631	CTRL_HG01631
HG01632	CTRL_HG01632
HG01633	CTRL_HG01633
HG01667	CTRL_HG01667
HG01668	CTRL_HG01668
HG01669	CTRL_HG01669
HG01670	CTRL_HG01670
HG01671	CTRL_HG01671
HG01672	CTRL_HG01672
HG01673	CTRL_HG01673
HG01674	CTRL_HG01674
HG01675	CTRL_HG01675
HG01676	CTRL_HG01676
HG01677	CTRL_HG01677
HG01678	CTRL_HG01678
HG01679	CTRL_HG01679
HG01680	CTRL_HG01680
HG01681	CTRL_HG01681
HG01682	CTRL_HG01682
HG01683	CTRL_HG01683
HG01684	CTRL_HG01684
HG01685	CTRL_HG01685
HG01686	CTRL_HG01686
HG01687	CTRL_HG01687
HG01694	CTRL_HG01694
HG01695	CTRL_HG01695
HG01696	CTRL_HG01696
HG01697	CTRL_HG01697
HG01698	CTRL_HG01698
HG01699	CTRL_HG01699
HG01700	CTRL_HG01700
HG01701	CTRL_HG01701
HG01702	CTRL_HG01702
HG01703	CTRL_HG01703
HG01704	CTRL_HG01704
HG01705	CTRL_HG01705
HG01706	CTRL_HG01706
HG01707	CTRL_HG01707
HG01708	CTRL_HG01708
HG01709	CTRL_HG01709
HG01710	CTRL_HG01710
HG01711	CTRL_HG01711
HG01746	CTRL_HG01746
HG01747	CTRL_HG01747
HG01748	CTRL_HG01748
HG01755	CTRL_HG01755
HG01756	CTRL_HG01756
HG01757	CTRL_HG01757
HG01761	CTRL_HG01761
HG01762	CTRL_HG01762
HG01763	CTRL_HG01763
HG01765	CTRL_HG01765
HG01766	CTRL_HG01766
HG01767	CTRL_HG01767
HG01768	CTRL_HG01768
HG01770	CTRL_HG01770
HG01771	CTRL_HG01771
HG01772	CTRL_HG01772
HG01773	CTRL_HG01773
HG01774	CTRL_HG01774
HG01775	CTRL_HG01775
HG01776	CTRL_HG01776
HG01777	CTRL_HG01777
HG01778	CTRL_HG01778
HG01779	CTRL_HG01779
HG01780	CTRL_HG01780
HG01781	CTRL_HG01781
HG01782	CTRL_HG01782
HG01783	CTRL_HG01783
HG01784	CTRL_HG01784
HG01785	CTRL_HG01785
HG01786	CTRL_HG01786
HG01789	CTRL_HG01789
HG01790	CTRL_HG01790
HG01791	CTRL_HG01791
HG01794	CTRL_HG01794
HG01795	CTRL_HG01795
HG01796	CTRL_HG01796
HG01797	CTRL_HG01797
HG01798	CTRL_HG01798
HG01799	CTRL_HG01799
HG01800	CTRL_HG01800
HG01801	CTRL_HG01801
HG01802	CTRL_HG01802
HG01804	CTRL_HG01804
HG01805	CTRL_HG01805
HG01806	CTRL_HG01806
HG01807	CTRL_HG01807
HG01808	CTRL_HG01808
HG01809	CTRL_HG01809
HG01810	CTRL_HG01810
HG01811	CTRL_HG01811
HG01812	CTRL_HG01812
HG01813	CTRL_HG01813
HG01815	CTRL_HG01815
HG01816	CTRL_HG01816
HG01817	CTRL_HG01817
HG01840	CTRL_HG01840
HG01841	CTRL_HG01841
HG01842	CTRL_HG01842
HG01843	CTRL_HG01843
HG01844	CTRL_HG01844
HG01845	CTRL_HG01845
HG01846	CTRL_HG01846
HG01847	CTRL_HG01847
HG01848	CTRL_HG01848
HG01849	CTRL_HG01849
HG01850	CTRL_HG01850
HG01851	CTRL_HG01851
HG01852	CTRL_HG01852
HG01853	CTRL_HG01853
HG01855	CTRL_HG01855
HG01857	CTRL_HG01857
HG01858	CTRL_HG01858
HG01859	CTRL_HG01859
HG01860	CTRL_HG01860
HG01861	CTRL_HG01861
HG01862	CTRL_HG01862
HG01863	CTRL_HG01863
HG01864	CTRL_HG01864
HG01865	CTRL_HG01865
HG01866	CTRL_HG01866
HG01867	CTRL_HG01867
HG01868	CTRL_HG01868
HG01869	CTRL_HG01869
HG01870	CTRL_HG01870
HG01871	CTRL_HG01871
HG01872	CTRL_HG01872
HG01873	CTRL_HG01873
HG01874	CTRL_HG01874
HG01878	CTRL_HG01878
HG01879	CTRL_HG01879
HG01880	CTRL_HG01880
HG01881	CTRL_HG01881
HG01882	CTRL_HG01882
HG01883	CTRL_HG01883
HG01884	CTRL_HG01884
HG01885	CTRL_HG01885
HG01886	CTRL_HG01886
HG01887	CTRL_HG01887
HG01888	CTRL_HG01888
HG01889	CTRL_HG01889
HG01890	CTRL_HG01890
HG01891	CTRL_HG01891
HG01892	CTRL_HG01892
HG01893	CTRL_HG01893
HG01894	CTRL_HG01894
HG01895	CTRL_HG01895
HG01896	CTRL_HG01896
HG01897	CTRL_HG01897
HG01898	CTRL_HG01898
HG01912	CTRL_HG01912
HG01914	CTRL_HG01914
HG01915	CTRL_HG01915
HG01916	CTRL_HG01916
HG01917	CTRL_HG01917
HG01918	CTRL_HG01918
HG01919	CTRL_HG01919
HG01920	CTRL_HG01920
HG01921	CTRL_HG01921
HG01922	CTRL_HG01922
HG01923	CTRL_HG01923
HG01924	CTRL_HG01924
HG01925	CTRL_HG01925
HG01926	CTRL_HG01926
HG01927	CTRL_HG01927
HG01928	CTRL_HG01928
HG01932	CTRL_HG01932
HG01933	CTRL_HG01933
HG01934	CTRL_HG01934
HG01935	CTRL_HG01935
HG01936	CTRL_HG01936
HG01937	CTRL_HG01937
HG01938	CTRL_HG01938
HG01939	CTRL_HG01939
HG01940	CTRL_HG01940
HG01941	CTRL_HG01941
HG01942	CTRL_HG01942
HG01943	CTRL_HG01943
HG01944	CTRL_HG01944
HG01945	CTRL_HG01945
HG01946	CTRL_HG01946
HG01947	CTRL_HG01947
HG01948	CTRL_HG01948
HG01949	CTRL_HG01949
HG01950	CTRL_HG01950
HG01951	CTRL_HG01951
HG01952	CTRL_HG01952
HG01953	CTRL_HG01953
HG01954	CTRL_HG01954
HG01955	CTRL_HG01955
HG01956	CTRL_HG01956
HG01958	CTRL_HG01958
HG01959	CTRL_HG01959
HG01960	CTRL_HG01960
HG01961	CTRL_HG01961
HG01965	CTRL_HG01965
HG01967	CTRL_HG01967
HG01968	CTRL_HG01968
HG01969	CTRL_HG01969
HG01970	CTRL_HG01970
HG01971	CTRL_HG01971
HG01972	CTRL_HG01972
HG01973	CTRL_HG01973
HG01974	CTRL_HG01974
HG01975	CTRL_HG01975
HG01976	CTRL_HG01976
HG01977	CTRL_HG01977
HG01978	CTRL_HG01978
HG01979	CTRL_HG01979
HG01980	CTRL_HG01980
HG01981	CTRL_HG01981
